# slug: sight-and-sound-2022
# name: The Greatest Films of All Time
# curator: Sight & Sound
# published: 2022
# source: https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time
# ordered: true
=211	All about Eve	Joseph L. Mankiewicz
=211	Duck Soup	Leo McCarey
=211	By the Bluest of Seas	Boris Barnet
=225	The Green Ray	Eric Rohmer
=225	Grave of the Fireflies	Isao Takahata
=225	Blue	Derek Jarman
=225	Crash	David Cronenberg
=225	Happy Together	Wong Kar Wai
=225	Flowers of Shanghai	Hou Hsiao-Hsien
=225	As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty	Jonas Mekas
=225	Petite maman	Céline Sciamma
=225	Je, tu, il, elle	Chantal Akerman
=225	A Touch of Zen	King Hu
=225	The Crowd	King Vidor
=225	Napoléon	Abel Gance
=225	Europa '51	Roberto Rossellini
=225	The Hour of the Furnaces	Fernando Solanas
=225	Intolerance	D.W. Griffith
=225	Star Wars	George Lucas
=225	Cries and Whispers	Ingmar Bergman
=225	Harlan County, USA	Barbara Kopple
=243	The Last Laugh	F.W. Murnau
=243	The Quince Tree Sun	Víctor Erice
=243	Taste of Cherry	Abbas Kiarostami
=243	Werckmeister Harmonies	Béla Tarr
=243	In Vanda's Room	Pedro Costa
=243	Morvern Callar	Lynne Ramsay
=243	The Intruder	Claire Denis
=243	Syndromes and a Century	Apichatpong Weerasethakul
=243	Nostalgia for the Light	Patricio Guzmán
=243	Distant Voices, Still Lives	Terence Davies
=243	Soleil Ô	Med Hondo
=243	Possession	Andrzej Zulawski
=243	Videodrome	David Cronenberg
=243	A Canterbury Tale	Michael Powell, Emeric Pressburger
=243	A Clockwork Orange	Stanley Kubrick
=243	Mouchette	Robert Bresson
=243	My Darling Clementine	John Ford
=243	Earth	Alexander Dovzhenko
=243	Annie Hall	Woody Allen
=243	Sullivan's Travels	Preston Sturges
=243	Pandora's Box	G.W. Pabst
=243	Born in Flames	Lizzie Borden
